id;start_date;end_date;language
1;2020-09-18T08:37:27;2020-09-18T06:27:42;SPANISH
2;2020-09-17T13:27:38;2020-09-18T08:32:03;SPANISH
3;2020-09-18T04:22:57;2020-09-17T14:57:06;FRENCH
4;2020-09-17T19:40:28;2020-09-18T07:11:54;FRENCH
5;2020-09-18T05:10:46;2020-09-18T09:57:45;FRENCH
6;2020-09-17T23:03:07;2020-09-18T11:11:21;FRENCH
7;2020-09-18T00:48:27;2020-09-17T18:39:18;FRENCH
8;2020-09-17T23:44:40;2020-09-18T10:00:48;SPANISH
9;2020-09-17T22:25:49;2020-09-17T19:07:12;SPANISH
10;2020-09-18T06:37:53;2020-09-17T17:12:23;SPANISH
